chembl_id,smiles,mw,logp
CHEMBL537349,COc1ccc2c(c1)C(C)(CCCN(C)C)C(=O)N2C.O=C(O)C(=O)O,366.41,1.43
CHEMBL154414,CCCCCCCCCCC1(O)CCOC(=O)C1,256.39,3.59
CHEMBL552528,COc1cc(-c2cc(N3CCOCC3)nc(N)n2)cc(OC)c1OC,346.39,1.59
CHEMBL552542,COc1ccc2c(CCCN3CCC[C@@H](C)C3)cccc2c1.Cl,333.9,4.93
CHEMBL503982,CC/C=C/C=C/C=C/C=C/C=O,162.23,2.82
CHEMBL504142,O=c1ccc2nccc3c4c(O)cccc4n1c23,236.23,2.14
CHEMBL503846,O=C1C(=O)N(Cc2ccc(Br)cc2)c2ccc(Cl)cc21,350.6,3.83
CHEMBL1204461,COc1ccc(C(CCN(C)CC(=O)O)Oc2ccc(C(F)(F)F)cc2)cc1,397.39,4.24
CHEMBL507700,NC(=O)Nc1sc(-c2ccc(CN3CCCCC3)cc2)cc1C(N)=O,358.47,2.99
CHEMBL503907,O=C(O)CCCc1ccc(Cn2ccc(=O)[nH]c2=O)cc1,288.3,0.99
CHEMBL504237,CC(C)CNCC(C)(C)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,298.41,1.06
CHEMBL504254,COc1ccc(S(=O)(=O)n2cccc2)cc1,237.28,1.73
CHEMBL524910,O=C1NC(NC2CC2)=N/C1=C\c1c[nH]c2ncccc12,267.29,1.14
CHEMBL4116093,O=C1c2cccc3c(-c4cc(=O)c5ccccc5o4)ccc(c23)C(=O)N1CCCCN1CCNCC1,481.55,3.89
CHEMBL552742,CCCCCCOc1ccc(C(=O)CCN(C)C)c(N(C)C)c1,320.48,3.85
CHEMBL504374,CN(C)C(=O)n1nnc(CCc2ccccc2)n1,245.29,0.99
CHEMBL501136,COc1ccc(-c2nc3ccc(F)cc3o2)c(OC)c1,273.26,3.65
CHEMBL155439,COc1cc2c(cc1OC)CN(CC1=NCCN1)CC2,275.35,1.06
CHEMBL503237,CN1C2CCC1CC(OC1c3ccccc3CCc3ccccc31)C2,333.48,4.52
CHEMBL1204470,CN(CCC(Cc1ccc(C(F)(F)F)cc1)c1ccccc1)CC(=O)O,365.4,4.44
CHEMBL503391,CC1(C)CCC[C@@]2(C)[C@H]1CCC1=CC(=O)[C@@]3(C)C[C@@]12CC3=O,300.44,4.48
CHEMBL503474,O=C1CCCCCC1S(=O)(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,388.33,4.4
CHEMBL541537,CC1(C)Oc2ccc([N+](=O)[O-])cc2[C@@H](N2CCCCCC2)[C@@H]1O.Cl,356.85,3.47
CHEMBL526533,Nc1ccc2nc(-c3ccc(F)cc3)oc2c1,228.23,3.22
CHEMBL539191,CC(C)(CO)NC(=O)Cn1cccc(NC(=O)c2ccccc2)c1=O,343.38,0.99
CHEMBL499087,N[C@@H](C(=O)NCc1ccc(F)cc1)[C@@H](O)c1ccc([N+](=O)[O-])cc1,333.32,1.41
CHEMBL499101,N[C@@H](CC(=O)O)C(=O)N1CCCC1,186.21,-0.59
CHEMBL504547,O=C1NC(=O)c2ccc(I)cc2/C1=C/NCc1ccc(-c2ccoc2)c(O)c1,486.27,3.66
CHEMBL501544,O=C1Nc2ccc(OC(F)(F)F)cc2/C1=N/NC(=S)NC1CCCCC1,386.4,3.04
CHEMBL498936,CCOc1cc2c(cn1)[nH]c1ccccc12,212.25,3.11
CHEMBL553669,O=C(c1ccccc1)c1nccc2ccccc12,233.27,3.47
CHEMBL554586,O=C(NCCc1c[nH]c2ccc(O)cc12)c1ccc(O)cc1,296.33,2.55
CHEMBL506162,O=C1C=CC[C@H]([C@@H](O)[C@H](Cl)c2ccccc2)O1,252.7,2.2
